sim,radiotype,radio,mcc,mnc,area,cellid,unit,lat,lon,signal,extra,acc,time,speed,bearing,alt,api,device
1,LTE,LTE,311,480,11265,88068364,156,33.9786295,-117.3290263,-76,1,41.5,1733345144860,0.9,289.8,290.1,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9783624,-117.3289562,-75,1,4.5,1733345153722,0.6,187.3,290.9,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9783373,-117.3289601,-73,1,210.6,1733345158334,0.6,187.3,290.9,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9783697,-117.3289593,-79,1,4.3,1733345163698,0.0,-2000.0,291.1,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9783741,-117.3289587,-71,,8.4,1733345173401,0.2,345.1,290.9,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9783714,-117.3289631,-79,,8.7,1733345178197,0.1,272.1,290.9,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068374,157,33.9781657,-117.328934,-74,,10.9,1733345182955,3.2,165.0,290.9,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068374,157,33.9779379,-117.3290632,-74,,10.5,1733345187693,2.4,213.5,289.2,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068374,157,33.9777101,-117.3290208,-76,,9.7,1733345192205,1.7,179.1,289.2,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068374,157,33.977552,-117.3290453,-73,,9.7,1733345197218,2.6,181.6,289.2,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068374,157,33.9774112,-117.3290618,-73,1,8.8,1733345201980,2.2,173.7,289.2,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068374,157,33.9772344,-117.3290552,-67,2,8.1,1733345206513,2.9,178.6,289.2,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068374,157,33.9771637,-117.3291293,-72,1,8.0,1733345211541,2.1,257.9,289.2,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068374,157,33.9770875,-117.3292482,-76,2,7.1,1733345216099,2.9,257.4,289.2,33,Samsung_SM-N986U1
