sim,radiotype,radio,mcc,mnc,area,cellid,unit,lat,lon,signal,extra,acc,time,speed,bearing,alt,api,device
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.9753459,-117.319509,-101,3,38.6,1733302653456,0.1,133.9,300.2,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.9759544,-117.3200251,-101,3,6.3,1733302661739,2.8,327.7,300.2,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.9759051,-117.3200199,-102,3,8.0,1733302667755,0.3,319.3,300.2,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.975901,-117.3200147,-98,3,3.8,1733302672740,0.8,158.3,300.2,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.9758982,-117.3200154,-94,3,4.4,1733302677673,0.1,-2000.0,300.2,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.9756993,-117.3199277,-92,3,3.8,1733302682824,3.1,184.0,300.2,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.9755435,-117.3200863,-96,3,8.4,1733302687741,4.9,232.0,300.2,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.9754019,-117.3203855,-87,3,4.0,1733302693746,5.0,239.0,300.2,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.9753177,-117.3206301,-90,3,3.8,1733302698755,5.1,247.0,299.0,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.9752392,-117.3208573,-82,3,3.8,1733302703750,4.7,257.0,299.0,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.9752509,-117.3211065,-87,3,3.8,1733302708751,4.5,263.1,299.1,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.9751991,-117.3212409,-87,3,3.8,1733302713749,2.7,267.9,299.1,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.9751943,-117.3214568,-80,,3.8,1733302718751,4.4,265.0,298.1,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.9751557,-117.3217101,-81,,3.8,1733302723742,4.7,245.1,298.1,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.9750477,-117.321923,-83,4,3.8,1733302728744,5.1,236.0,297.9,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.9749559,-117.3221839,-95,4,3.8,1733302733752,5.2,253.0,297.9,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.9749257,-117.3227371,-92,,4.8,1733302743746,5.2,267.0,295.3,33,Samsung_SM-N986U1
