sim,radiotype,radio,mcc,mnc,area,cellid,unit,lat,lon,signal,extra,acc,time,speed,bearing,alt,api,device
1,LTE,LTE,311,480,11265,88068364,156,33.9793248,-117.3220312,-99,5,4.7,1733192187918,0.2,207.8,308.4,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9793272,-117.3220269,-102,5,3.8,1733192192907,0.1,-2000.0,308.4,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9793292,-117.3220308,-101,5,4.7,1733192197906,0.1,302.1,308.4,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9793327,-117.3220315,-100,5,4.7,1733192202905,0.1,350.1,308.4,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9793314,-117.3220307,-95,5,5.2,1733192207906,0.0,-2000.0,308.4,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9793301,-117.3220305,-91,5,6.1,1733192212929,0.0,-2000.0,308.4,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9793304,-117.3220247,-91,5,9.2,1733192217569,0.1,112.7,309.1,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9793327,-117.3220227,-95,5,6.7,1733192222412,0.1,-2000.0,309.1,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9793344,-117.3220174,-94,5,5.8,1733192227570,0.1,-2000.0,309.1,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9793164,-117.3216469,-87,5,11.7,1733192232293,2.0,80.0,309.9,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9793122,-117.3212759,-94,5,4.4,1733192238906,3.0,88.0,309.9,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9793091,-117.3209041,-90,5,5.3,1733192248913,1.9,95.9,309.9,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9792378,-117.3208435,-85,5,10.5,1733192253912,3.6,163.0,309.9,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9790511,-117.3208691,-97,5,4.4,1733192258910,3.7,185.9,309.9,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88160780,144,33.9788682,-117.3208719,-103,,13.8,1733192263918,3.5,168.1,308.4,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88160780,144,33.9787036,-117.3208223,-96,7,7.1,1733192268916,3.2,163.0,308.4,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88160780,144,33.9785418,-117.3208041,-97,7,13.5,1733192273907,2.9,171.1,308.4,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88160780,144,33.9783929,-117.3208122,-93,7,6.9,1733192278912,2.7,171.0,308.4,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88160780,144,33.9782486,-117.3208318,-96,7,8.7,1733192283913,2.2,173.2,308.4,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88160780,144,33.9781237,-117.3208364,-95,7,9.5,1733192288915,2.8,169.0,306.8,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88160780,144,33.9779674,-117.3208428,-99,7,7.3,1733192293906,3.0,178.1,306.7,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88160780,144,33.9778341,-117.3208055,-102,7,8.5,1733192298907,2.0,148.1,306.7,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119072,155,33.9777494,-117.3207417,-102,5,125.4,1733192304755,2.0,148.1,306.7,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119072,155,33.9777533,-117.3205794,-102,4,22.6,1733192313005,1.8,132.9,306.7,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119072,155,33.9775885,-117.3204689,-95,4,8.6,1733192318919,1.4,142.1,306.7,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119072,155,33.9774767,-117.3204452,-101,4,14.1,1733192323900,2.1,175.0,306.7,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119072,155,33.97733,-117.3204334,-100,4,4.4,1733192328906,2.0,177.0,306.7,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119072,155,33.9771927,-117.320411,-102,4,4.4,1733192333901,2.2,176.0,306.7,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119072,155,33.9770454,-117.3203934,-98,4,5.7,1733192338907,2.5,174.0,306.7,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119072,155,33.9768919,-117.3203895,-97,4,13.9,1733192343931,2.9,190.9,307.1,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88068364,156,33.9767897,-117.3205216,-102,5,7.1,1733192348910,4.1,247.9,307.1,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.976758,-117.3207819,-110,6,10.4,1733192353912,3.7,262.0,304.1,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9767403,-117.3210088,-107,6,7.4,1733192358910,4.2,265.0,302.6,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9767117,-117.3212479,-113,6,16.0,1733192363936,3.2,263.0,301.2,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9766521,-117.3214369,-111,6,4.7,1733192368909,2.9,246.1,300.8,33,Samsung_SM-N986U1
1,LTE,LTE,311,480,11265,88068364,156,33.9765553,-117.3216028,-107,6,5.8,1733192373910,3.4,220.1,300.7,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119072,155,33.9763705,-117.3216732,-98,,6.0,1733192378909,3.0,181.1,300.6,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119072,155,33.9761927,-117.3216526,-104,4,7.2,1733192383934,1.5,178.0,300.5,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119072,155,33.9760694,-117.3216606,-112,4,6.1,1733192388930,2.9,187.0,300.3,33,Samsung_SM-N986U1
1,5G (NSA),5G (NSA),311,480,11265,88119062,154,33.9758915,-117.3216667,-104,,10.0,1733192393921,2.6,170.1,300.1,33,Samsung_SM-N986U1
